feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
9,11,0.0005273075530116541,0.0021092302120466165,0.0021092302120466165
5,10,0.0005181530713802417,0.002072612285520967,0.002072612285520967
6,10,0.0005067739420614302,0.002027095768245721,0.002027095768245721
4,10,0.0004922444422394833,0.001968977768957933,0.001968977768957933
2,7,0.0004808972434606616,0.0019235889738426464,0.0019235889738426464
1,13,-0.0004706146292388226,-0.0018824585169552905,0.0018824585169552905
8,10,0.00045524213778701185,0.0018209685511480474,0.0018209685511480474
6,8,0.0004391252140980427,0.0017565008563921708,0.0017565008563921708
6,7,-0.0004274453822741421,-0.0017097815290965685,0.0017097815290965685
6,11,-0.00041511173371834646,-0.0016604469348733858,0.0016604469348733858
5,6,0.00040387195072109846,0.0016154878028843938,0.0016154878028843938
1,11,-0.00039111051232755615,-0.0015644420493102246,0.0015644420493102246
5,13,-0.00034291838714996313,-0.0013716735485998525,0.0013716735485998525
1,10,-0.0003172954039196853,-0.0012691816156787411,0.0012691816156787411
5,16,-0.0002622693937606316,-0.0010490775750425264,0.0010490775750425264
2,4,0.00023427729861434584,0.0009371091944573833,0.0009371091944573833
9,10,0.0002307174708679879,0.0009228698834719516,0.0009228698834719516
1,6,0.0002204177753359758,0.0008816711013439032,0.0008816711013439032
8,12,-0.00021255139840793756,-0.0008502055936317502,0.0008502055936317502
6,13,-0.0001924933704227229,-0.0007699734816908916,0.0007699734816908916
2,6,0.00018961393830106628,0.0007584557532042651,0.0007584557532042651
6,16,-0.00018883612306087958,-0.0007553444922435183,0.0007553444922435183
2,11,0.00018506780083991855,0.0007402712033596742,0.0007402712033596742
1,16,-0.0001772966598305871,-0.0007091866393223484,0.0007091866393223484
1,9,-0.00017459466748694156,-0.0006983786699477662,0.0006983786699477662
6,14,0.0001536287645198385,0.000614515058079354,0.000614515058079354
3,6,0.00011980492668082972,0.0004792197067233189,0.0004792197067233189
2,14,0.00011001347770654636,0.00044005391082618545,0.00044005391082618545
3,10,0.00010737508723689045,0.0004295003489475618,0.0004295003489475618
10,14,-0.00010128869694160745,-0.0004051547877664298,0.0004051547877664298
10,13,7.920909042734205e-5,0.0003168363617093682,0.0003168363617093682
3,14,7.091215043185297e-5,0.0002836486017274119,0.0002836486017274119
1,3,-5.989919741257525e-5,-0.000239596789650301,0.000239596789650301
1,15,-5.767404677460633e-5,-0.0002306961870984253,0.0002306961870984253
1,5,1.9573519194112504e-5,7.829407677645002e-5,7.829407677645002e-5
1,2,-1.2787952118357285e-5,-5.115180847342914e-5,5.115180847342914e-5
