feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
4,12,4.933504857817031e-5,0.00019734019431268124,0.00019734019431268124
4,11,4.00023414555029e-5,0.0001600093658220116,0.0001600093658220116
3,12,-3.990183216174767e-5,-0.00015960732864699068,0.00015960732864699068
4,7,-3.5863148178949896e-5,-0.00014345259271579959,0.00014345259271579959
8,12,3.235415312573698e-5,0.00012941661250294792,0.00012941661250294792
2,10,2.611497581582749e-5,0.00010445990326330996,0.00010445990326330996
2,9,2.6095556284954746e-5,0.00010438222513981898,0.00010438222513981898
3,13,-2.2959859444570546e-5,-9.183943777828218e-5,9.183943777828218e-5
2,13,2.2825297099727387e-5,9.130118839890955e-5,9.130118839890955e-5
1,4,1.3844200628764617e-5,5.537680251505847e-5,5.537680251505847e-5
4,14,9.387225480706612e-6,3.754890192282645e-5,3.754890192282645e-5
3,9,-5.006954155844503e-7,-2.0027816623378013e-6,2.0027816623378013e-6
