feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
8,12,-0.002708919068385352,-0.010835676273541407,0.010835676273541407
9,16,-0.002450394768533282,-0.009801579074133128,0.009801579074133128
7,15,-0.0024083718166310287,-0.009633487266524115,0.009633487266524115
1,11,-0.0023853679613410565,-0.009541471845364226,0.009541471845364226
2,14,-0.00234702174420256,-0.00938808697681024,0.00938808697681024
1,12,-0.0022930525880327174,-0.00917221035213087,0.00917221035213087
10,12,-0.002248749491303737,-0.008994997965214947,0.008994997965214947
7,16,-0.0022013196866226496,-0.008805278746490598,0.008805278746490598
3,12,-0.002192422672482119,-0.008769690689928476,0.008769690689928476
11,12,-0.0021831766279263544,-0.008732706511705417,0.008732706511705417
6,14,-0.0021814112948448598,-0.008725645179379439,0.008725645179379439
7,13,-0.0020577773674575147,-0.008231109469830059,0.008231109469830059
6,16,-0.0020321869282214026,-0.00812874771288561,0.00812874771288561
7,14,-0.0019956359320929765,-0.007982543728371906,0.007982543728371906
6,13,-0.0019006170204136862,-0.007602468081654745,0.007602468081654745
3,14,-0.0018971780829304622,-0.007588712331721849,0.007588712331721849
4,13,-0.00189183905117154,-0.00756735620468616,0.00756735620468616
5,14,-0.001890934565511837,-0.007563738262047348,0.007563738262047348
10,14,-0.0018290507754443962,-0.007316203101777585,0.007316203101777585
2,13,-0.001825312703789517,-0.007301250815158068,0.007301250815158068
4,15,-0.0018251763628030163,-0.007300705451212065,0.007300705451212065
11,14,-0.0017402267964315094,-0.0069609071857260375,0.0069609071857260375
12,14,-0.0017169540149269084,-0.0068678160597076335,0.0068678160597076335
10,16,-0.0016931486708416047,-0.006772594683366419,0.006772594683366419
11,16,-0.0016715272712588755,-0.006686109085035502,0.006686109085035502
3,16,-0.0016592830496791281,-0.0066371321987165124,0.0066371321987165124
8,13,-0.001653682173940818,-0.006614728695763272,0.006614728695763272
9,13,-0.0016495226901896084,-0.006598090760758434,0.006598090760758434
2,16,-0.0016404636463847268,-0.006561854585538907,0.006561854585538907
6,15,-0.0016358813635577677,-0.006543525454231071,0.006543525454231071
9,15,-0.001625385434312032,-0.006501541737248128,0.006501541737248128
8,14,-0.0015791906727316229,-0.0063167626909264914,0.0063167626909264914
2,15,-0.001555212152328589,-0.006220848609314356,0.006220848609314356
11,15,-0.0015421105330404522,-0.006168442132161809,0.006168442132161809
1,14,-0.0014855634921276057,-0.005942253968510423,0.005942253968510423
10,15,-0.0014702133618300865,-0.005880853447320346,0.005880853447320346
8,15,-0.0014626996970890315,-0.005850798788356126,0.005850798788356126
11,13,-0.0014398505740189868,-0.005759402296075947,0.005759402296075947
5,16,-0.0014108461463309355,-0.005643384585323742,0.005643384585323742
1,16,-0.0013709107162356519,-0.0054836428649426075,0.0054836428649426075
5,13,-0.0013570454469971297,-0.005428181787988519,0.005428181787988519
10,13,-0.0013027176079447808,-0.005210870431779123,0.005210870431779123
8,16,-0.0012549587107913095,-0.005019834843165238,0.005019834843165238
3,15,-0.0012513130572131782,-0.005005252228852713,0.005005252228852713
1,15,-0.0012468735364053133,-0.004987494145621253,0.004987494145621253
5,15,-0.0012026494736290475,-0.00481059789451619,0.00481059789451619
14,16,-0.001153760167443417,-0.004615040669773668,0.004615040669773668
13,16,-0.001142526282836863,-0.004570105131347452,0.004570105131347452
1,13,-0.0011191166387505512,-0.004476466555002205,0.004476466555002205
3,13,-0.0011056984270852116,-0.004422793708340846,0.004422793708340846
14,15,-0.0010682447139232186,-0.004272978855692874,0.004272978855692874
13,14,-0.000657268759158636,-0.002629075036634544,0.002629075036634544
12,15,0.0004658698744435044,0.0018634794977740177,0.0018634794977740177
12,16,-0.0004387733706779015,-0.001755093482711606,0.001755093482711606
13,15,-0.000154962414643545,-0.00061984965857418,0.00061984965857418
12,13,6.218760955724106e-6,2.4875043822896424e-5,2.4875043822896424e-5
